po_line_id,po_id,sku,ordered_qty,received_qty,unit_cost,received_at
POL00000001,PO0000001,SKU000001,120,120,8.2500,2024-07-08 13:00:00
POL00000002,PO0000001,SKU000006,500,500,10.9000,2024-07-07 15:00:00
POL00000003,PO0000002,SKU000004,144,144,36.2250,2025-02-10 09:00:00
POL00000004,PO0000002,SKU000005,48,48,83.9500,2025-02-12 09:00:00
POL00000005,PO0000003,SKU000003,100,60,20.9875,2025-10-20 14:00:00
POL00000006,PO0000003,SKU000008,24,0,64.9750,
POL00000007,PO0000004,SKU000007,50,50,48.0125,2026-04-06 10:00:00
POL00000008,PO0000004,SKU000010,50,50,23.5750,2026-04-06 10:00:00
POL00000009,PO0000005,SKU000001,120,0,8.9500,
POL00000010,PO0000005,SKU000006,240,0,11.7500,
