supplier_id,sku,is_primary_source,quoted_lead_time_days,min_order_qty,order_multiple,unit_cost,effective_from_date
SUP0001,SKU000001,true,7,12,12,8.2500,2024-07-01
SUP0001,SKU000002,true,8,24,12,5.1000,2024-07-01
SUP0002,SKU000003,true,24,10,5,18.2500,2024-07-01
SUP0003,SKU000004,true,35,12,12,31.5000,2024-07-01
SUP0003,SKU000005,true,42,4,2,73.0000,2024-07-01
SUP0001,SKU000006,true,6,10,10,10.9000,2024-07-01
SUP0004,SKU000007,true,28,5,5,41.7500,2024-07-01
SUP0002,SKU000008,true,30,2,2,56.5000,2024-07-01
SUP0001,SKU000009,true,9,2,1,35.7500,2024-07-01
SUP0004,SKU000010,true,32,5,5,20.5000,2024-07-01
