snapshot_date,location_id,sku,on_hand_qty,allocated_qty,on_order_qty,in_transit_qty,current_safety_stock_qty,current_reorder_point,current_reorder_qty,last_count_date
2024-11-04,LOC002,SKU000004,84,18,144,0,24,96,144,2024-10-21
2024-11-11,LOC002,SKU000004,42,20,144,0,24,96,144,2024-10-21
2024-11-18,LOC002,SKU000004,8,8,144,0,24,96,144,2024-11-15
2024-11-25,LOC002,SKU000004,0,0,144,50,24,96,144,2024-11-15
2025-08-11,LOC003,SKU000003,55,10,60,0,10,40,60,2025-07-28
2025-08-18,LOC003,SKU000003,20,12,60,0,10,40,60,2025-07-28
2025-08-25,LOC003,SKU000003,0,0,60,15,10,40,60,2025-08-22
2026-01-05,LOC003,SKU000007,18,4,30,0,5,20,30,2025-12-18
2026-01-12,LOC003,SKU000007,4,4,30,0,5,20,30,2025-12-18
2026-01-19,LOC003,SKU000007,0,0,30,5,5,20,30,2026-01-16
2026-06-15,LOC001,SKU000006,620,80,0,0,100,400,600,2026-06-10
2026-06-22,LOC001,SKU000006,510,75,0,0,100,400,600,2026-06-10
2026-06-29,LOC001,SKU000006,430,70,0,0,100,400,600,2026-06-26
